en,fr
"
Ancient Egypt can be thought of as an oasis in the desert of northeastern Africa, dependent on the annual inundation of the Nile River to support its agricultural population. The country’s chief wealth came from the fertile floodplain of the Nile valley, where the river flows between bands of limestone hills, and the Nile delta, in which it fans into several branches north of present-day Cairo. Between the floodplain and the hills is a variable band of low desert that supported a certain amount of game. The Nile was Egypt’s sole transportation artery.

The First Cataract at Aswān, where the riverbed is turned into rapids by a belt of granite, was the country’s only well-defined boundary within a populated area. To the south lay the far less hospitable area of Nubia, in which the river flowed through low sandstone hills that in most regions left only a very narrow strip of cultivable land. Nubia was significant for Egypt’s periodic southward expansion and for access to products from farther south. West of the Nile was the arid Sahara, broken by a chain of oases some 125 to 185 miles (200 to 300 km) from the river and lacking in all other resources except for a few minerals. The eastern desert, between the Nile and the Red Sea, was more important, for it supported a small nomadic population and desert game, contained numerous mineral deposits, including gold, and was the route to the Red Sea.
","
L'Égypte ancienne peut être considérée comme une oasis dans le désert du nord-est de l'Afrique, dépendant de l'inondation annuelle du Nil pour soutenir sa population agricole. La principale richesse du pays provenait de la plaine inondable fertile de la vallée du Nil, où le fleuve coule entre des bandes de collines calcaires, et du delta du Nil, où il se divise en plusieurs bras au nord du Caire actuel. Entre la plaine inondable et les collines se trouve une bande variable de bas désert qui soutenait une certaine quantité de gibier. Le Nil était la seule voie de transport de l'Égypte.

Le premier cataracte à Aswān, où le lit du fleuve se transforme en rapides à travers une ceinture de granit, constituait la seule frontière clairement définie du pays dans une zone peuplée. Au sud se trouvait la région beaucoup moins accueillante de la Nubie, où le fleuve traversait des collines de grès bas qui, dans la plupart des régions, ne laissaient qu'une bande très étroite de terre cultivable. La Nubie était importante pour l'expansion périodique vers le sud de l'Égypte et pour l'accès aux produits provenant de régions plus au sud. À l'ouest du Nil se trouvait le Sahara aride, parsemé d'une chaîne d'oasis à environ 200 à 300 km du fleuve et dépourvu de toutes autres ressources à l'exception de quelques minéraux. Le désert oriental, entre le Nil et la mer Rouge, était plus important car il soutenait une petite population nomade et du gibier désertique, contenait de nombreux gisements minéraux, dont l'or, et était la route vers la mer Rouge.
"
"
At first, relatively little cultural contact came by way of the Mediterranean Sea, but from an early date Egypt maintained trading relations with the Lebanese port of Byblos (present-day Jbail). Egypt needed few imports to maintain basic standards of living, but good timber was essential and not available within the country, so it usually was obtained from Lebanon. Minerals such as obsidian and lapis lazuli were imported from as far afield as Anatolia and Afghanistan.

Agriculture centred on the cultivation of cereal crops, chiefly emmer wheat (Triticum dicoccum) and barley (Hordeum vulgare). The fertility of the land and general predictability of the inundation ensured very high productivity from a single annual crop. This productivity made it possible to store large surpluses against crop failures and also formed the chief basis of Egyptian wealth, which was, until the creation of the large empires of the 1st millennium BCE, the greatest of any state in the ancient Middle East.

Basin irrigation was achieved by simple means, and multiple cropping was not feasible until much later times, except perhaps in the lakeside area of Al-Fayyūm. As the river deposited alluvial silt, raising the level of the floodplain, and land was reclaimed from marsh, the area available for cultivation in the Nile valley and delta increased, while pastoralism declined slowly. In addition to grain crops, fruit and vegetables were important, the latter being irrigated year-round in small plots. Fish was also vital to the diet. Papyrus, which grew abundantly in marshes, was gathered wild and in later times was cultivated. It may have been used as a food crop, and it certainly was used to make rope, matting, and sandals. Above all, it provided the characteristic Egyptian writing material, which, with cereals, was the country’s chief export in Late period Egyptian and then Greco-Roman times.
","
À l'origine, relativement peu de contacts culturels se faisaient par la mer Méditerranée, mais dès une date précoce, l'Égypte entretenait des relations commerciales avec le port libanais de Byblos (actuellement Jbail). L'Égypte n'avait besoin que de peu d'importations pour maintenir des normes de vie de base, mais du bois de qualité était essentiel et n'était pas disponible dans le pays, il était donc généralement obtenu du Liban. Des minéraux tels que l'obsidienne et le lapis-lazuli étaient importés de régions aussi éloignées que l'Anatolie et l'Afghanistan.

L'agriculture était centrée sur la culture de céréales, principalement le blé émérété (Triticum dicoccum) et l'orge (Hordeum vulgare). La fertilité du sol et la prévisibilité générale de l'inondation assuraient une productivité très élevée à partir d'une seule récolte annuelle. Cette productivité permettait de stocker de grands excédents contre les échecs de récolte et constituait également la principale base de la richesse égyptienne, qui était, jusqu'à la création des grands empires du Ier millénaire av. J.-C., la plus grande de tout État du Moyen-Orient antique.

L'irrigation par bassin était réalisée par des moyens simples, et la culture multiple n'était pas réalisable jusqu'à beaucoup plus tard, sauf peut-être dans la région lacustre d'Al-Fayyūm. À mesure que le fleuve déposait du limon alluvial, élevant le niveau de la plaine inondable, et que des terres étaient gagnées sur les marais, la superficie disponible pour la culture dans la vallée du Nil et dans le delta augmentait, tandis que le pastoralisme déclinait lentement. Outre les céréales, les fruits et les légumes étaient importants, ces derniers étant irrigués toute l'année dans de petites parcelles. Le poisson était également essentiel dans l'alimentation. Le papyrus, qui poussait abondamment dans les marais, était récolté à l'état sauvage et cultivé ultérieurement. Il aurait pu être utilisé comme culture alimentaire, et il était certainement utilisé pour fabriquer de la corde, des nattes et des sandales. Surtout, il fournissait le matériau d'écriture caractéristique de l'Égypte, qui, avec les céréales, constituait la principale exportation du pays à l'époque égyptienne tardive et ensuite à l'époque gréco-romaine.
"
"
Nearly all of the people were engaged in agriculture and were probably tied to the land. In theory all the land belonged to the king, although in practice those living on it could not easily be removed and some categories of land could be bought and sold. Land was assigned to high officials to provide them with an income, and most tracts required payment of substantial dues to the state, which had a strong interest in keeping the land in agricultural use. Abandoned land was taken back into state ownership and reassigned for cultivation. The people who lived on and worked the land were not free to leave and were obliged to work it, but they were not slaves; most paid a proportion of their produce to major officials. Free citizens who worked the land on their own behalf did emerge; terms applied to them tended originally to refer to poor people, but these agriculturalists were probably not poor. Slavery was never common, being restricted to captives and foreigners or to people who were forced by poverty or debt to sell themselves into service. Slaves sometimes even married members of their owners’ families, so that in the long term those belonging to households tended to be assimilated into free society. In the New Kingdom (from about 1539 to 1075 BCE), large numbers of captive slaves were acquired by major state institutions or incorporated into the army. Punitive treatment of foreign slaves or of native fugitives from their obligations included forced labour, exile (in, for example, the oases of the western desert), or compulsory enlistment in dangerous mining expeditions. Even nonpunitive employment such as quarrying in the desert was hazardous. The official record of one expedition shows a mortality rate of more than 10 percent.

","

Presque tous les habitants étaient engagés dans l'agriculture et étaient probablement liés à la terre. En théorie, toute la terre appartenait au roi, bien que dans la pratique, ceux qui y vivaient ne pouvaient pas être facilement déplacés et certaines catégories de terres pouvaient être achetées et vendues. Des terres étaient attribuées aux hauts fonctionnaires pour leur fournir un revenu, et la plupart des parcelles exigeaient le paiement de redevances substantielles à l'État, qui avait un fort intérêt à maintenir les terres en usage agricole. Les terres abandonnées étaient reprises par l'État et réattribuées pour la culture. Les personnes qui vivaient et travaillaient la terre n'étaient pas libres de partir et étaient obligées de la cultiver, mais elles n'étaient pas esclaves ; la plupart versaient une partie de leur production aux fonctionnaires principaux. Des citoyens libres travaillant la terre pour leur propre compte émergeaient ; les termes qui leur étaient appliqués avaient tendance à se référer initialement aux personnes pauvres, mais ces agriculteurs n'étaient probablement pas pauvres. L'esclavage n'était jamais courant, se limitant aux captifs et aux étrangers ou aux personnes contraintes par la pauvreté ou la dette à se vendre comme serviteurs. Les esclaves épousaient parfois même des membres des familles de leurs propriétaires, de sorte que à long terme, ceux appartenant aux ménages avaient tendance à être assimilés dans la société libre. Dans le Nouvel Empire (d'environ 1539 à 1075 avant J.-C.), un grand nombre d'esclaves captifs ont été acquis par des institutions étatiques majeures ou incorporés dans l'armée. Le traitement punitif des esclaves étrangers ou des fugitifs autochtones de leurs obligations comprenait le travail forcé, l'exil (par exemple, dans les oasis du désert occidental) ou l'enrôlement obligatoire dans des expéditions minières dangereuses. Même l'emploi non punitif, comme l'extraction de pierre dans le désert, était risqué. Les archives officielles d'une expédition montrent un taux de mortalité de plus de 10 %.

"
"

Although Ahmose (ruled c. 1539–14 BCE) had been preceded by Kamose, who was either his father or his brother, Egyptian tradition regarded Ahmose as the founder of a new dynasty because he was the native ruler who reunified Egypt. Continuing a recently inaugurated practice, he married his full sister Ahmose-Nofretari. The queen was given the title of God’s Wife of Amon. Like her predecessors of the 17th dynasty, Queen Ahmose-Nofretari was influential and highly honoured. A measure of her importance was her posthumous veneration at Thebes, where later pharaohs were depicted offering to her as a goddess among the gods.

Ahmose’s campaigns to expel the Hyksos from the Nile River delta and regain former Egyptian territory to the south probably started around his 10th regnal year. Destroying the Hyksos stronghold at Avaris, in the eastern delta, he finally drove them beyond the eastern frontier and then besieged Sharuḥen (Tell el-Fārʿah) in southern Palestine; the full extent of his conquests may have been much greater. His penetration of the Middle East came at a time when there was no major established power in the region. This political gap facilitated the creation of an Egyptian “empire.”
","
Bien qu'Ahmose (régna environ de 1539 à 14 av. J.-C.) ait été précédé par Kamose, qui était soit son père soit son frère, la tradition égyptienne considérait Ahmose comme le fondateur d'une nouvelle dynastie parce qu'il était le souverain autochtone qui avait réunifié l'Égypte. Poursuivant une pratique récemment inaugurée, il épousa sa sœur Ahmose-Nofretari. La reine reçut le titre d'Épouse de Dieu d'Amon. Comme ses prédécesseurs de la 17e dynastie, la reine Ahmose-Nofretari fut influente et très honorée. Un indice de son importance était sa vénération posthume à Thèbes, où les pharaons ultérieurs étaient représentés lui offrant des hommages en tant que déesse parmi les dieux.

Les campagnes d'Ahmose pour expulser les Hyksôs du delta du Nil et regagner d'anciens territoires égyptiens vers le sud ont probablement commencé vers sa dixième année de règne. Détruisant le bastion des Hyksôs à Avaris, dans l'est du delta, il les chassa finalement au-delà de la frontière orientale, puis assiégea Sharuḥen (Tell el-Fārʿah) dans le sud de la Palestine ; l'étendue complète de ses conquêtes pourrait avoir été beaucoup plus grande. Sa pénétration au Moyen-Orient s'est produite à une époque où il n'y avait pas de grande puissance établie dans la région. Ce vide politique a facilité la création d'un ""empire"" égyptien.

"
"
Ahmose’s son and successor, Amenhotep I (ruled c. 1514–1493 BCE), pushed the Egyptian frontier southward to the Third Cataract, near the capital of the Karmah (Kerma) state, while also gathering tribute from his Asiatic possessions and perhaps campaigning in Syria. The emerging kingdom of Mitanni in northern Syria, which is first mentioned on a stela of one of Amenhotep’s soldiers and was also known by the name of Nahrin, may have threatened Egypt’s conquests to the north.

The New Kingdom was a time of increased devotion to the state god Amon-Re, whose cult largely benefited as Egypt was enriched by the spoils of war. Riches were turned over to the god’s treasuries, and as a sign of filial piety the king had sacred monuments constructed at Thebes. Under Amenhotep I the pyramidal form of royal tomb was abandoned in favour of a rock-cut tomb, and, except for Akhenaton,
","
Le fils et successeur d'Ahmose, Amenhotep Ier (règne vers 1514-1493 avant J.-C.), poussa la frontière égyptienne vers le sud jusqu'au Troisième Cataracte, près de la capitale de l'État de Karmah (Kerma), tout en rassemblant également des tributs de ses possessions asiatiques et peut-être en menant des campagnes en Syrie. Le royaume émergent de Mitanni dans le nord de la Syrie, mentionné pour la première fois sur une stèle d'un des soldats d'Amenhotep et également connu sous le nom de Nahrin, aurait pu menacer les conquêtes de l'Égypte au nord.

Le Nouvel Empire a été une période de dévotion accrue envers le dieu de l'État Amon-Rê, dont le culte a largement bénéficié alors que l'Égypte s'enrichissait des dépouilles de la guerre. Les richesses étaient remises aux trésors du dieu, et en signe de piété filiale, le roi faisait construire des monuments sacrés à Thèbes. Sous le règne d'Amenhotep Ier, la forme pyramidale du tombeau royal a été abandonnée au profit d'un tombeau taillé dans la roche, à l'exception d'Akhenaton.

"
,"

Faute d'un héritier survivant, Amenhotep Ier fut succédé par l'un de ses généraux, Thoutmôsis Ier (régna de 1493 à environ 1482 avant J.-C.), qui épousa sa propre sœur Ahmose. Dans le sud, Thoutmôsis détruisit l'État de Karmah. Il inscrivit une roche en tant que borne frontière, confirmée ultérieurement par Thoutmôsis III, près de Kanisa-Kurgus, au nord de la Cinquième Cataracte. Il mena ensuite une brillante campagne en Syrie et au-delà de l'Euphrate, où il érigea une stèle de victoire près de Carchemish.

Ainsi, sous le règne de Thoutmôsis Ier, les conquêtes égyptiennes au Moyen-Orient et en Afrique atteignirent leur apogée, mais elles n'étaient peut-être pas encore solidement établies. Son successeur peu connu, Thoutmôsis II (environ 1482-1479 avant J.-C.), sembla apparemment poursuivre ses politiques.
"
"
During the empire period Egypt maintained commercial ties with Phoenicia, Crete, and the Aegean islands. The Egyptians portrayed goods obtained through trade as foreign tribute. In the Theban tombs there are representations of Syrians bearing Aegean products and of Aegeans carrying Syrian bowls and amphorae—indicative of close commercial interconnections between Mediterranean lands. Egyptian ships trading with Phoenicia and Syria journeyed beyond to Crete and the Aegean, a route that explains the occasional confusion of products and ethnic types in Egyptian representations. The most prized raw material from the Aegean world was silver, which was lacking in Egypt, where gold was relatively abundant.

","

Pendant la période de l'Empire, l'Égypte a maintenu des liens commerciaux avec la Phénicie, la Crète et les îles de la mer Égée. Les Égyptiens représentaient les biens obtenus par le commerce comme un tribut étranger. Dans les tombes thébaines, on trouve des représentations de Syriens portant des produits égéens et d'Égéens transportant des bols et des amphores syriens, ce qui témoigne de liens commerciaux étroits entre les terres méditerranéennes. Les navires égyptiens commerçant avec la Phénicie et la Syrie naviguaient au-delà de la Crète et de l'Égée, une route qui explique la confusion occasionnelle des produits et des types ethniques dans les représentations égyptiennes. La matière première la plus prisée du monde égéen était l'argent, qui faisait défaut en Égypte, où l'or était relativement abondant.
"
"
Thutmose IV’s son Amenhotep III (ruled 1390–53 BCE) acceded to the throne at about the age of 12. He soon wed Tiy, who became his queen. Earlier in the dynasty military men had served as royal tutors, but Tiy’s father was a commander of the chariotry, and through this link the royal line became even more directly influenced by the military. In his fifth year Amenhotep III claimed a victory over Cushite rebels, but the viceroy of Cush, the southern portion of Nubia, probably actually led the troops. The campaign may have led into the Butāna, west of the ʿAṭbarah River, farther south than any previous Egyptian military expedition had gone. Several temples erected under Amenhotep III in Upper Nubia between the Second and Third cataracts attest to the importance of the region.

Peaceful relations prevailed with Asia, where control of Egypt’s vassals was successfully maintained. A commemorative scarab from the king’s 10th year announced the arrival in Egypt of the Mitannian princess Gilukhepa, along with 317 women; thus, another diplomatic marriage helped maintain friendly relations between Egypt and its former foe. Another Mitannian princess was later received into Amenhotep III’s harem, and during his final illness the Hurrian goddess Ishtar of Nineveh was sent to his aid. At the expense of older bureaucratic families and the principle of inheritance of office, military men acquired high posts in the civil administration. Most influential was the aged scribe and commander of the elite troops, Amenhotep, son of Hapu, whose reputation as a sage survived into the Ptolemaic period.
","

Le fils de Thoutmôsis IV, Amenhotep III (règne de 1390 à 1353 avant J.-C.), accéda au trône à l'âge d'environ 12 ans. Il épousa rapidement Tiy, qui devint sa reine. Plus tôt dans la dynastie, des hommes militaires avaient servi de tuteurs royaux, mais le père de Tiy était un commandant de la cavalerie, et grâce à ce lien, la lignée royale fut encore plus directement influencée par le militaire. En sa cinquième année, Amenhotep III revendiqua une victoire sur les rebelles cushites, mais le vice-roi de Cush, la partie méridionale de la Nubie, mena probablement réellement les troupes. La campagne aurait pu s'étendre jusqu'à la Butāna, à l'ouest de la rivière ʿAṭbarah, plus au sud que toute expédition militaire égyptienne précédente. Plusieurs temples érigés sous Amenhotep III dans le Haut-Nubie entre la Deuxième et la Troisième cataracte attestent de l'importance de la région.

Des relations pacifiques prévalaient avec l'Asie, où le contrôle des vassaux de l'Égypte était maintenu avec succès. Un scarabée commémoratif de la dixième année du roi annonça l'arrivée en Égypte de la princesse mitannienne Gilukhepa, accompagnée de 317 femmes ; ainsi, un autre mariage diplomatique contribua à maintenir des relations amicales entre l'Égypte et son ancien ennemi. Une autre princesse mitannienne fut plus tard accueillie dans le harem d'Amenhotep III, et pendant sa maladie finale, la déesse hourrite Ishtar de Ninive lui fut envoyée en aide. Au détriment des familles bureaucratiques plus anciennes et du principe de l'héritage des fonctions, les hommes militaires acquéraient des postes élevés dans l'administration civile. Le plus influent était le vieux scribe et commandant des troupes d'élite, Amenhotep, fils de Hapu, dont la réputation de sage survécut jusqu'à la période ptolémaïque.
"
"
“I added Egypt to the empire of the Roman people.” With these words the emperor Augustus (as Octavian was known from 27 BCE) summarized the subjection of Cleopatra’s kingdom in the great inscription that records his achievements. The province was to be governed by a viceroy, a prefect with the status of a Roman knight (eques) who was directly responsible to the emperor. The first viceroy was the Roman poet and soldier Gaius Cornelius Gallus, who boasted too vaingloriously of his military achievements in the province and paid for it first with his position and then with his life. Roman senators were not allowed to enter Egypt without the emperor’s permission, because this wealthiest of provinces could be held militarily by a very small force, and the threat implicit in an embargo on the export of grain supplies, vital to the provisioning of the city of Rome and its populace, was obvious. Internal security was guaranteed by the presence of three Roman legions (later reduced to two), each about 6,000 strong, and several cohorts of auxiliaries.

In the first decade of Roman rule the spirit of Augustan imperialism looked farther afield, attempting expansion to the east and to the south. An expedition to Arabia by the prefect Aelius Gallus about 26–25 BCE was undermined by the treachery of the Nabataean Syllaeus, who led the Roman fleet astray in uncharted waters. Arabia was to remain an independent though friendly client of Rome until 106 CE, when the emperor Trajan (ruled 98–117 CE) annexed it, making it possible to reopen Ptolemy II’s canal from the Nile to the head of the Gulf of Suez
","

""J'ai ajouté l'Égypte à l'empire du peuple romain."" Avec ces mots, l'empereur Auguste (sous le nom d'Octavien à partir de 27 av. J.-C.) résuma la soumission du royaume de Cléopâtre dans la grande inscription qui enregistre ses réalisations. La province devait être gouvernée par un vice-roi, un préfet ayant le statut de chevalier romain (eques) directement responsable devant l'empereur. Le premier vice-roi fut le poète et soldat romain Gaius Cornelius Gallus, qui se vantait de manière trop présomptueuse de ses exploits militaires dans la province et en paya le prix d'abord avec son poste, puis avec sa vie. Les sénateurs romains n'étaient pas autorisés à entrer en Égypte sans la permission de l'empereur, car cette province la plus riche pouvait être maintenue militairement par une très petite force, et la menace implicite d'un embargo sur l'exportation des approvisionnements en grains, vitaux pour l'approvisionnement de la ville de Rome et de sa population, était évidente. La sécurité intérieure était garantie par la présence de trois légions romaines (plus tard réduites à deux), chacune d'environ 6 000 hommes, et de plusieurs cohortes d'auxiliaires.

Au cours de la première décennie de la domination romaine, l'esprit de l'impérialisme augustéen regardait plus loin, tentant une expansion vers l'est et vers le sud. Une expédition en Arabie menée par le préfet Aelius Gallus vers 26-25 av. J.-C. fut sapée par la traîtrise du Nabatéen Syllaeus, qui égara la flotte romaine dans des eaux inexplorées. L'Arabie devait rester un client indépendant mais amical de Rome jusqu'en 106 de notre ère, lorsque l'empereur Trajan (règne de 98 à 117 de notre ère) l'annexa, rendant possible la réouverture du canal de Ptolémée II du Nil à la tête du golfe de Suez.
"
"
The Romans introduced important changes in the administrative system, aimed at achieving a high level of efficiency and maximizing revenue. The duties of the prefect of Egypt combined responsibility for military security through command of the legions and cohorts, for the organization of finance and taxation, and for the administration of justice. This involved a vast mass of detailed paperwork; one document from 211 CE notes that in a period of three days 1,804 petitions were handed into the prefect’s office. But the prefect was assisted by a hierarchy of subordinate equestrian officials with expertise in particular areas. There were three or four epistratēgoi in charge of regional subdivisions; special officers were in charge of the emperors’ private account, the administration of justice, religious institutions, and so on. Subordinate to them were the local officials in the nomes (stratēgoi and royal scribes) and finally the authorities in the towns and villages.

It was in these growing towns that the Romans made the most far-reaching changes in administration. They introduced colleges of magistrates and officials who were to be responsible for running the internal affairs of their own communities on a theoretically autonomous basis
","
Les Romains ont introduit d'importants changements dans le système administratif, visant à atteindre un niveau élevé d'efficacité et à maximiser les revenus. Les fonctions du préfet d'Égypte comprenaient la responsabilité de la sécurité militaire par le commandement des légions et des cohortes, l'organisation des finances et de la fiscalité, ainsi que l'administration de la justice. Cela impliquait une masse considérable de paperasserie détaillée ; un document de 211 de notre ère mentionne qu'en trois jours, 1 804 pétitions ont été remises au bureau du préfet. Mais le préfet était assisté par une hiérarchie de fonctionnaires équestres subalternes ayant une expertise dans des domaines particuliers. Il y avait trois ou quatre épistratèges chargés des subdivisions régionales ; des fonctionnaires spéciaux étaient responsables du compte privé des empereurs, de l'administration de la justice, des institutions religieuses, etc. Subordonnés à eux se trouvaient les fonctionnaires locaux dans les nomes (stratèges et scribes royaux), et enfin les autorités dans les villes et les villages.
C'est dans ces villes en expansion que les Romains ont apporté les changements les plus fondamentaux dans l'administration. Ils ont introduit des collèges de magistrats et de fonctionnaires qui étaient censés être responsables de la gestion des affaires internes de leurs propres communautés sur une base théoriquement autonome.
"
